year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,violent_crime_rate,homicide_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_rate,motor_vehicle_theft_rate
1980,ID,Idaho,943629,2957,29,442,2275,42169,11691,28243,2235,211.0,313.36468039875837,3.073241708340884,22.360482774480225,46.84044258919554,241.09051332674176,4468.811365483681,1238.9403038694231,2993.0195023679858,236.8515592462716
1980,IL,Illinois,11355062,91753,1205,41675,44923,620107,177099,369319,73689,3950.0,808.0360987901256,10.612007226380623,34.78624775452569,367.01693042274894,395.62091338647025,5461.062211725484,1559.6480230579102,3252.461325178145,648.9528634894288
1980,IN,Indiana,5461103,20633,485,7720,10620,248619,71720,153297,23602,1808.0,377.8174482334429,8.88098979272136,33.10686504173241,141.36338391713176,194.46620948185742,4552.541858302252,1313.2878101731465,2807.070293308879,432.1837548202259
1980,KS,Kansas,2354783,9168,163,2664,5599,117492,35826,75268,6398,742.0,389.33523810898924,6.922081567600921,31.510334497913398,113.13144353428744,237.77137850918749,4989.504340739678,1521.4140750973656,3196.3879474244545,271.702318217857
1980,KY,Kentucky,3641479,9711,321,3468,5224,115328,37901,68296,9131,698.0,266.67735829315507,8.815099579044668,19.16803584477626,95.23602909696856,143.45819377236558,3167.0648107540915,1040.8133618235888,1875.5016848923199,250.7497640381834
1980,LA,Louisiana,4199542,27926,661,8271,17127,201106,63997,121298,15811,1867.0,664.9772760934407,15.739811627077428,44.45722890734275,196.95004836241665,407.8301871966038,4788.760298146798,1523.904273370763,2888.3625881107987,376.49343666523635
1980,MA,Massachusetts,5728288,34444,232,13492,19158,313787,99697,153849,60241,1562.0,601.2965828533761,4.050075694518153,27.268182046712734,235.53285030361604,334.4454748085292,5477.84957739555,1740.43274360507,2685.7762738186348,1051.640559971845
1980,MD,Maryland,4192211,35735,399,16461,17194,242214,71183,152144,18887,1681.0,852.4141556806181,9.517650709852152,40.09817253950242,392.6567627440508,410.1415696872127,5777.714909864985,1697.9822819032725,3629.206640600867,450.5259873608461
1980,ME,Maine,1123670,2173,32,346,1650,46904,13291,31151,2462,145.0,193.3841786289569,2.847811190118095,12.904144455222617,30.791958493151906,146.84026449046428,4174.179251915598,1182.8205789956125,2772.2551994802743,219.10347343971097
1980,MI,Michigan,9228128,59014,940,22519,31251,557051,160688,342384,53979,4304.0,639.5013159765447,10.186247958415835,46.640011928746546,244.02565720804915,338.64939888133324,6036.446395195212,1741.2849063211954,3710.2216180789865,584.9398707950302
1980,MN,Minnesota,4061235,9250,106,4025,4177,185668,50602,123050,12016,942.0,227.7632296579735,2.6100434966211017,23.194914847330924,99.10778371603712,102.85048759798435,4571.712791798554,1245.975669962462,3029.8665307474203,295.8705910886713
1980,MO,Missouri,4901288,27177,544,10958,14075,239115,81798,136998,20319,1600.0,554.4869022183556,11.099123332479136,32.64448038964452,223.57388506857788,287.1694134276541,4878.615580231156,1668.9082543200889,2795.1428277628247,414.56449814824185
1980,MT,Montana,781592,1740,31,266,1279,37531,7430,27587,2514,164.0,222.6225447548081,3.9662637283902598,20.98281456309686,34.0331016694132,163.64036479390782,4801.865935168221,950.6238549012784,3529.590886293616,321.65119397332626
1980,NC,North Carolina,5843665,26589,619,4810,19836,244585,83150,148804,12631,1324.0,455.0055487438106,10.592667444146782,22.65701404854659,82.31135768391925,339.444509567198,4185.472644307981,1422.908397384176,2546.4156483987363,216.14859852506947
1980,ND,North Dakota,652437,352,8,50,232,18984,3186,14629,1169,62.0,53.951569270289696,1.2261720288702205,9.502833223744208,7.663575180438878,35.55898883723639,2909.706224509033,488.3230104975653,2242.208826292807,179.17438771866097
1980,NE,Nebraska,1563921,3512,69,1286,1794,63818,14316,45692,3810,363.0,224.5637727225352,4.411987562031586,23.21089108720965,82.22921746047274,114.71167661282124,4080.6409019381413,915.3915063484664,2921.630951947061,243.61844364261367
1980,NH,New Hampshire,919114,1653,23,386,1085,41358,12067,26443,2848,159.0,179.84711363334688,2.5024099295626003,17.299268643497978,41.996966643963646,118.04846841632268,4499.768255080437,1312.8948095666044,2877.00981597495,309.86362953888204
1980,NJ,New Jersey,7342164,44373,504,22299,19313,425623,137900,234160,53563,2257.0,604.3586059913671,6.864461213342551,30.74025587006773,303.71154880223327,263.0423401057236,5796.96939485416,1878.1928597617812,3189.2504716593094,729.5260634330696
1980,NM,New Mexico,1295474,7967,170,1657,5579,69490,19335,45613,4542,561.0,614.9872556299856,13.122609948173409,43.30461282897225,127.90685108307848,430.6531817697615,5364.059795873943,1492.503902046664,3520.950632741375,350.6052610859037
1980,NV,Nevada,800312,7304,160,3686,2920,63556,23263,34864,5429,538.0,912.6440688131629,19.992203040814083,67.22378272473735,460.5703775527544,364.857705494857,7941.402852887373,2906.7413708653626,4356.301042593388,678.3604394286228
1980,NY,New York,17506690,180235,2228,112273,60329,1029749,360925,535783,133041,5405.0,1029.5207146525129,12.726563388053368,30.873911630353884,641.3148345004109,344.6054051336946,5882.031383431134,2061.6404357419933,3060.447177621812,759.9437700673285
1980,OH,Ohio,10766808,53646,871,24082,24997,531141,157874,327322,45945,3696.0,498.25352137792373,8.089677089068552,34.3277227568282,223.66889053840282,232.16723099362412,4933.133385493639,1466.3027333635002,3040.1025076327173,426.7281444974221
1980,OK,Oklahoma,3001252,12589,299,3147,8055,139061,50802,75649,12610,1088.0,419.45827941139225,9.962508979585852,36.25153769160337,104.85623999584173,268.3879927443613,4633.432980636081,1692.6935825448845,2520.5814106912717,420.1579873999251
1980,OR,Oregon,2610477,12802,132,3978,7608,161759,45641,106712,9406,1084.0,490.40845791784415,5.0565471367876444,41.524978002104596,152.38594325864585,291.44098952030606,6196.530365906307,1748.3777868948857,4087.8352883400235,360.3172906713984
1980,PA,Pennsylvania,11824220,43032,809,21039,18462,398761,122800,226496,49465,2722.0,363.9309823396385,6.841888936437245,23.020545964131248,177.93139843473818,156.1371490043318,3372.4084971355405,1038.5463058028351,1915.5259289830535,418.3362623496518
1980,RI,Rhode Island,945835,3864,42,1122,2538,52249,16233,28037,7979,162.0,408.5279144882564,4.440520809654961,17.127723122954848,118.62534162935395,268.33432892629264,5524.113613896715,1716.2612929316424,2964.2590938165745,843.5932271484984
1980,SC,South Carolina,3064557,20225,348,3620,15109,146461,51177,85905,9379,1148.0,659.9648823630952,11.355638025332862,37.46055302609806,118.12474037846253,493.0239509332018,4779.18994490884,1669.964043742701,2803.1784039259182,306.047497240221
